Label,ID,Method,Exclude,used_in_PPO
whole plant,PO:0000003,locality,,Y
leaf,PO:0025034,locality,,Y
vascular leaf,PO:0009025,locality,,Y
cotyledon,PO:0020030,locality,,Y
vascular leaf expansion stage,PO:0001052,locality,,Y
vascular leaf post-expansion stage,PO:0001053,locality,,Y
vascular leaf senescent stage,PO:0001054,locality,,Y
bud swell stage,PO:0025531,locality,,Y
bud burst stage,PO:0025532,locality,,Y
shoot-borne shoot system,PO:0004545,locality,,Y
seed germination stage,PO:0007057,locality,,Y
fruit,PO:0009001,locality,,Y
seed,PO:0009010,locality,,Y
flower,PO:0009046,locality,,Y
flower bud,PO:0000056,locality,,Y
inflorescence,PO:0009049,locality,,Y
whole plant flowering stage,PO:0007016,locality,,Y
flowering stage,PO:0007616,locality,,Y
fruit ripening stage,PO:0025502,locality,,Y
strobilus,PO:0025083,locality,,Y
microsporangiate strobilus,PO:0005031,locality,,Y
megasporangiate strobilus,PO:0005032,locality,,Y
plant structure,PO:0009011,locality,,Y
shoot system,PO:0009006,locality,,N
reproductive shoot system,PO:0025082,locality,,N
vegetative shoot system,PO:0025607,locality,,N
bud,PO:0000055,locality,,N
vegetative bud,PO:0000058,locality,,N
flower development stage,PO:0007615,locality,,Y
reproductive shoot system development stage,PO:0025530,locality,,Y
seed maturation stage,PO:0007632,locality,,Y
plant structure development stage,PO:0009012,locality,,Y
