label,ID,Seed descendants,Exclude,used_in_PPO
whole plant,PO:0000003,N,,Y
leaf,PO:0025034,N,,Y
vascular leaf,PO:0009025,N,,Y
cotyledon,PO:0020030,N,,Y
vascular leaf expansion stage,PO:0001052,N,,Y
vascular leaf post-expansion stage,PO:0001053,N,,Y
vascular leaf senescent stage,PO:0001054,N,,Y
bud burst stage,PO:0025532,N,,Y
shoot-borne shoot system,PO:0004545,N,,Y
seed germination stage,PO:0007057,N,,Y
fruit,PO:0009001,N,,Y
seed,PO:0009010,N,,Y
flower,PO:0009046,N,,Y
flower bud,PO:0000056,N,,Y
inflorescence,PO:0009049,N,,Y
whole plant flowering stage,PO:0007016,N,,Y
flowering stage,PO:0007616,N,,Y
fruit ripening stage,PO:0025502,N,,Y
strobilus,PO:0025083,N,,Y
microsporangiate strobilus,PO:0005031,N,,Y
megasporangiate strobilus,PO:0005032,N,,Y
plant structure,PO:0009011,N,,Y
shoot system,PO:0009006,N,,N
reproductive shoot system,PO:0025082,N,,N
vegetative shoot system,PO:0025607,N,,N
bud,PO:0000055,N,,N
vegetative bud,PO:0000058,N,,N
flower development stage,PO:0007615,N,,Y
reproductive shoot system development stage,PO:0025530,N,,Y
seed maturation stage,PO:0007632,N,,Y
plant structure development stage,PO:0009012,N,,Y
